date,country,age,sex,fatal,activity,type
June,SOUTH AFRICA,19.0,M,N,surfing,Unprovoked
June,USA,,F,,swimming,
June,SOUTH AFRICA,23.0,M,N,surfing,Unprovoked
June,USA,43.0,M,N,Close to the water,Unprovoked
June,AUSTRALIA,19.0,M,N,swimming,Provoked
June,USA,47.0,M,N,surfing,Unprovoked
June,USA,6.0,M,N,swimming,Unprovoked
June,AUSTRALIA,37.0,F,N,surfing,
June,USA,9.0,M,N,Close to the water,Unprovoked
June,,36.0,M,N,fishing,Unprovoked
June,USA,10.0,M,N,swimming,Unprovoked
June,USA,16.0,M,N,Close to the water,Unprovoked
June,USA,12.0,F,N,Close to the water,Unprovoked
June,USA,,F,N,other activity,Unprovoked
June,USA,13.0,F,N,surfing,Unprovoked
June,USA,11.0,M,N,other activity,Unprovoked
June,USA,17.0,F,N,other activity,Unprovoked
June,,47.0,M,N,surfing,Unprovoked
May,USA,14.0,F,N,Close to the water,Unprovoked
May,USA,19.0,F,N,Close to the water,Unprovoked
May,,19.0,M,N,fishing,Unprovoked
May,USA,13.0,F,N,swimming,Unprovoked
May,USA,18.0,M,N,surfing,Unprovoked
May,USA,30.0,M,N,other activity,Unprovoked
May,,50.0,M,Y,swimming,Unprovoked
May,USA,,M,N,swimming,Unprovoked
May,AUSTRALIA,,M,N,surfing,Unprovoked
May,SOUTH AFRICA,29.0,M,N,swimming,Unprovoked
April,USA,65.0,F,Y,swimming,Unprovoked
April,USA,63.0,M,N,Close to the water,Unprovoked
April,AUSTRALIA,26.0,M,N,surfing,Unprovoked
June,AUSTRALIA,71.0,M,N,vessel related,Unprovoked
April,USA,48.0,M,N,other activity,Unprovoked
April,,13.0,M,Y,surfing,Unprovoked
April,AUSTRALIA,,M,N,surfing,Unprovoked
April,USA,70.0,M,N,fishing,Unprovoked
March,,43.0,M,,swimming,
March,,23.0,M,,surfing,
March,SOUTH AFRICA,36.0,M,N,fishing,
March,,52.0,M,Y,swimming,Unprovoked
March,USA,58.0,M,N,swimming,Unprovoked
March,,9.0,M,N,other activity,Unprovoked
March,AUSTRALIA,,M,N,fishing,
March,,36.0,M,N,fishing,Provoked
March,,,M,N,Close to the water,Unprovoked
February,,,,N,vessel related,
February,,22.0,F,Y,swimming,Unprovoked
